id,title,culture,period,century,medium,dimensions,department,description,classification,accessionyear,accessionmethod
5204,"Dwelling in the Mountains, from the series ""Sacrifice""",Chinese,,21st century,"One from a set of twenty-four album leaves; ink on paper; with signature in clerical script (lishu) reading ""Li Junyi 06""",41.8 x 24.1 cm (16 7/16 x 9 1/2 in.),Department of Asian Art,,Paintings,2006.0,Purchase
5205,"A Thousand Trees on Rolling Hills, from the series ""Sacrifice""",Chinese,,20th century,"One from a set of twenty-four album leaves; ink on paper; with signature in clerical script (lishu) reading ""Li Junyi 90""",41.7 x 24.1 cm (16 7/16 x 9 1/2 in.),Department of Asian Art,,Paintings,2006.0,Purchase
5211,"Le Marché aux Bestiaux, Dieppe",British,,19th century,Oil on panel,"23.2 x 36.9 cm (9 1/8 x 14 1/2 in.)
framed: 38.4 x 52 x 4.5 cm (15 1/8 x 20 1/2 x 1 3/4 in.)","Department of Paintings, Sculpture & Decorative Arts",,Paintings,2009.0,Gift
5215,"Forested Peaks, Distant Waterfall, from the series ""Sacrifice""",Chinese,,21st century,"One from a set of twenty-four album leaves; ink on paper; with signature in clerical script (lishu) reading ""Li Junyi 06""",41.9 x 24.2 cm (16 1/2 x 9 1/2 in.),Department of Asian Art,,Paintings,2006.0,Purchase
5216,"Mists along a Mountain River, from the series ""Sacrifice""",Chinese,,21st century,"One from a set of twenty-four album leaves; ink on paper; with signature in clerical script (lishu) reading ""Li Junyi 06""",41.8 x 24.1 cm (16 7/16 x 9 1/2 in.),Department of Asian Art,,Paintings,2006.0,Purchase
5217,"Secluded Mountain Temple, from the series ""Sacrifice""",Chinese,,21st century,"One from a set of twenty-four album leaves; ink on paper; with signature in clerical script (lishu) reading ""Li Junyi 06""",41.8 x 24.1 cm (16 7/16 x 9 1/2 in.),Department of Asian Art,,Paintings,2006.0,Purchase
5218,"Sunrise on Towering Peaks, from the series ""Sacrifice""",Chinese,,21st century,"One from a set of twenty-four album leaves; ink on paper; with signature in clerical script (lishu) reading ""Li Junyi 06""",41.8 x 24.1 cm (16 7/16 x 9 1/2 in.),Department of Asian Art,,Paintings,2006.0,Purchase
5219,"Pines on Slender Peaks, from the series ""Sacrifice""",Chinese,,21st century,"One from a set of twenty-four album leaves; ink on paper; with signature in clerical script (lishu) reading ""Li Junyi 06""",41.8 x 24.1 cm (16 7/16 x 9 1/2 in.),Department of Asian Art,,Paintings,2006.0,Purchase
5220,"Bend in the Mountain River Near the Bingling-Si Cave Temples, from the series ""Sacrifice""",Chinese,,21st century,"One from a set of twenty-four album leaves; ink on paper; with signature in clerical script (lishu) reading ""Li Junyi 06""",41.8 x 24.1 cm (16 7/16 x 9 1/2 in.),Department of Asian Art,,Paintings,2006.0,Purchase
5221,"Mountains and Pines in Moonlight, from the series ""Sacrifice""",Chinese,,20th century,"One from a set of twenty-four album leaves; ink on paper; with signature in clerical script (lishu) reading ""Li Junyi 90""",41.8 x 24.1 cm (16 7/16 x 9 1/2 in.),Department of Asian Art,,Paintings,2006.0,Purchase
5222,"Mountain Bluff, Cascading Waterfall, from the series ""Sacrifice""",Chinese,,20th century,"One from a set of twenty-four album leaves; ink on paper; with signature in clerical script (lishu) reading ""Li Junyi 90""",41.8 x 24.1 cm (16 7/16 x 9 1/2 in.),Department of Asian Art,,Paintings,2006.0,Purchase
5240,"View of Wimmis, Valley of the Simmental, Switzerland",American,,19th century,Oil on paper mounted on canvas,32.4 x 50.5 cm (12 3/4 x 19 7/8 in.),"Department of American Paintings, Sculpture & Decorative Arts",,Paintings,2005.0,Gift
5244,Sixteen Arhats (Rakan) in a Fantastic Landscape,Japanese,"Edo period, 1615-1868",18th-19th century,"Two-panel folding screen; ink, color and gold on silk",painting proper (combined dimensions of two panels): H. 174.9 x W. 174.1 cm (68 7/8 x 68 9/16 in.),Department of Asian Art,,Paintings,2004.0,Gift
5265,"Saints Prosdocimus, Justina, Daniel, and Anthony of Padua in Glory with a View of the Prato della Valle, Padua",Italian,,17th century,Oil on copper,"27.5 × 35 cm (10 13/16 × 13 3/4 in.)
frame: 36.5 x 44.5 x 2.9 cm (14 3/8 x 17 1/2 x 1 1/8 in.)","Department of Paintings, Sculpture & Decorative Arts",,Paintings,2018.0,Gift
5368,"Viewing the Falls from a Mountain Pavilion, from the series ""Sacrifice""",Chinese,,20th century,"One from a set of twenty-four album leaves; ink on paper; with signature in clerical script (lishu) reading ""Li Junyi 91""",41.8 x 24.1 cm (16 7/16 x 9 1/2 in.),Department of Asian Art,,Paintings,2006.0,Purchase
5369,"A Thousand Peaks, from the series ""Sacrifice""",Chinese,,21st century,"One from a set of twenty-four album leaves; ink on paper; with signature in clerical script (lishu) reading ""Li Junyi 06""",41.9 x 24.2 cm (16 1/2 x 9 1/2 in.),Department of Asian Art,,Paintings,2006.0,Purchase
5499,"Layered Peaks and Towering Pines Overlook Distant Paddy Fields, from the series ""Sacrifice""",Chinese,,21st century,"One from a set of twenty-four album leaves; ink on paper; with signature in clerical script (lishu) reading ""Li Junyi 06""",41.8 x 24.1 cm (16 7/16 x 9 1/2 in.),Department of Asian Art,,Paintings,2006.0,Purchase
5500,"Mountain Dwelling, Majestic View, from the series ""Sacrifice""",Chinese,,21st century,"One from a set of twenty-four album leaves; ink on paper; with signature in clerical script (lishu) reading ""Li Junyi 06""",41.8 x 24.1 cm (16 7/16 x 9 1/2 in.),Department of Asian Art,,Paintings,2006.0,Purchase
5501,"Myriad Peaks, from the series ""Sacrifice""",Chinese,,21st century,"One from a set of twenty-four album leaves; ink on paper; with signature in clerical script (lishu) reading ""Li Junyi 06""",41.8 x 24.1 cm (16 7/16 x 9 1/2 in.),Department of Asian Art,,Paintings,2006.0,Purchase
5502,"Viewing the Mountain Gorge from a Balustraded Terrace, from the series ""Sacrifice""",Chinese,,20th century,"One from a set of twenty-four album leaves; ink on paper; with signature in clerical script (lishu) reading ""Li Junyi 91""",41.8 x 24.1 cm (16 7/16 x 9 1/2 in.),Department of Asian Art,,Paintings,2006.0,Purchase
5524,"Mountains Towering over Rural Village and Paddy fields, from the series ""Sacrifice""",Chinese,,21st century,"One from a set of twenty-four album leaves; ink on paper; with signature in clerical script (lishu) reading ""Li Junyi 06""",41.8 x 24.1 cm (16 7/16 x 9 1/2 in.),Department of Asian Art,,Paintings,2006.0,Purchase
5525,"Layered Peaks, Enveloping Mists, from the series ""Sacrifice""",Chinese,,21st century,"One from a set of twenty-four album leaves; ink on paper; with signature in clerical script (lishu) reading ""Li Junyi 06""",41.9 x 24.1 cm (16 1/2 x 9 1/2 in.),Department of Asian Art,,Paintings,2006.0,Purchase
5649,Orchids and Rocks,Korean,"Chosŏn dynasty, 1392-1910",19th century,"One of a set of four hanging scrolls; ink on silk; with one square, red, intaglio seal of the artist reading ""Kŭng Chŏng Ŭng Sŏn Pul Ch'a Saeng Yu Cha Son""","painting proper: H. 87.5 x W. 30.8 cm (34 7/16 x 12 1/8 in.)
mounting, including cord and roller ends: H. 172.7 x W. 45.4 cm (68 x 17 7/8 in.)",Department of Asian Art,,Paintings,2005.0,Purchase
5673,"Rain-Swept Peaks, from the series ""Sacrifice""",Chinese,,21st century,"One from a set of twenty-four album leaves; ink on paper; with signature in clerical script (lishu) reading ""Li Junyi 05""",41.9 x 24.1 cm (16 1/2 x 9 1/2 in.),Department of Asian Art,,Paintings,2006.0,Purchase
5855,Orchids and Rocks,Korean,"Chosŏn dynasty, 1392-1910",19th century,"One of a set of four hanging scrolls; ink on silk; with signature reading ""P'al-ship no-sŏk-in chak"" followed by two seals of the artist reading ""Tae Wŏn Kun Chang"" and ""Sŏk P'a""; and with an additional seal of the artist at the far left reading ""Tam Tam Ryu Su Ŭi""","painting proper: H. 87.5 x W. 30.8 cm (34 7/16 x 12 1/8 in.)
mounting, including cord and roller ends: H. 172.7 x W. 45.4 cm (68 x 17 7/8 in.)",Department of Asian Art,,Paintings,2005.0,Purchase
5858,Mountainous Landscape with a Scholar Riding a Donkey and Approaching a Village Nestled in a Grove of Trees,Korean,,20th century,One leaf from a set of six album leaves; ink and light colors on silk; with inscription and two seals of the artist,painting proper: H. 28.6 x W. 23.4 cm (11 1/4 x 9 3/16 in.),Department of Asian Art,"This small, rectangular album leaf depicts a landscape with several houses nestled behind a grove trees in the left foreground; in the right foreground, a scholar seated astride a donkey and trailed by an attendant carrying a parcel--probably a cabana--rides toward the houses. A lake occupies the painting's middle ground; low, rolling hills topped by deciduous trees separate the far edge of the middle ground from the background, which features distant mountains. Written in four columns, the artist's inscription appears in the upper right corner. Two seals of the artist accompany the inscription: a rectangular, red, intaglio seal appears at the beginning of the inscription, and a square, red, relief seal reading ""Tu San"" (the artist's sobriquet) appears at the end.",Paintings,2006.0,Gift
6009,The Invalid,American,,19th century,Oil on panel,"32.4 x 47.1 cm (12 3/4 x 18 9/16 in.)
frame: 50.2 x 65.4 x 5.1 cm (19 3/4 x 25 3/4 x 2 in.)","Department of American Paintings, Sculpture & Decorative Arts",,Paintings,2005.0,Purchase
6259,Orchids and Rocks,Korean,"Chosŏn dynasty, 1392-1910",19th century,"One of a set of four hanging scrolls; ink on silk; with one square, red, relief seal reading ""Yang Tŭk Pu Saeng Il Se Ch'o""","painting proper: H. 87.5 x W. 30.8 cm (34 7/16 x 12 1/8 in.)
mounting, including cord and roller ends: H. 172.7 x W. 45.4 cm (68 x 17 7/8 in.)",Department of Asian Art,,Paintings,2005.0,Purchase
6260,Orchids and Rocks,Korean,"Chosŏn dynasty, 1392-1910",19th century,"Set of four hanging scrolls; ink on silk; with signature reading ""P'al-ship no-sŏk-in chak"" on the scroll at the far left; with one large seal of the artist on each scroll and with two additional seals of the artist following the signature on the scroll at the far left","each painting proper: H. 87.5 x W. 30.8 cm (34 7/16 x 12 1/8 in.)
mountings, including cords and roller ends: H. 172.7 x W. 45.4 cm (68 x 17 7/8 in.)",Department of Asian Art,,Paintings,2005.0,Purchase
6532,Saint Andrew and Scenes from his Life,Byzantine,,,,48.58 x 37.47 cm (19 1/8 x 14 3/4 in.),"Department of Paintings, Sculpture & Decorative Arts",,Paintings,1917.0,Gift
7556,Dog in Motion,American,,20th century,Oil on canvas,"21 x 32.2 cm (8 1/4 x 12 11/16 in.)
framed: 32.9 x 44 x 3.5 cm (12 15/16 x 17 5/16 x 1 3/8 in.)",Department of Modern & Contemporary Art,,Paintings,2006.0,Purchase
8000,Between what I say and what I keep silent,American,,20th century,Latex and varnish on canvas,213.36 x 208.28 cm (84 x 82 in.),Department of Modern & Contemporary Art,,Paintings,2007.0,Purchase
11619,Painting #4,American,,20th century,"Spackle, acrylic resin,and dry pigment on canvas",128.3 x 104.1 cm (50 1/2 x 41 in.),Department of Modern & Contemporary Art,,Paintings,2005.0,Gift
12455,Still-Life with Modigliani Sculpture,British,,20th century,Oil on canvas,framed: 147.32 x 123.19 cm (58 x 48 1/2 in.),Department of Modern & Contemporary Art,"A medium-sized, elaborate still-life arrangement including a Modigliani sculpture covered by a shawl, a guitar, a large book, and flowers in a pot resting on a tapestry-covered base.",Paintings,2005.0,Gift
12550,The Honorable Laura Lister,American,,19th century,Oil on canvas,"168.9 x 115.3 cm (66 1/2 x 45 3/8 in.)
framed: 198.8 x 147.3 x 10.2 cm (78 1/4 x 58 x 4 in.)","Department of American Paintings, Sculpture & Decorative Arts",,Paintings,1943.0,Bequest
18406,Album of Iconographic Drawings of the Esoteric Buddhist Pantheon (Shingon sect),Japanese,"Edo period, 1615-1868",18th century,Album; ink on paper,H. 27.1 x W. 56.9 cm (10 11/16 x 22 3/8 in.),Department of Asian Art,,Paintings,1972.0,Gift
18407,Album of Iconographic Drawings of the Esoteric Buddhist Pantheon (Shingon sect),Japanese,"Edo period, 1615-1868",18th century,Album; ink on paper,H. 27.1 x W. 56.9 cm (10 11/16 x 22 3/8 in.),Department of Asian Art,,Paintings,1972.0,Gift
18408,Album of Iconographic Drawings of the Esoteric Buddhist Pantheon (Shingon sect),Japanese,"Edo period, 1615-1868",18th century,Album; ink on paper,H. 27.1 x W. 56.9 cm (10 11/16 x 22 3/8 in.),Department of Asian Art,,Paintings,1972.0,Gift
18409,Album of Iconographic Drawings of the Esoteric Buddhist Pantheon (Shingon sect),Japanese,"Edo period, 1615-1868",18th century,Album; ink on paper,H. 27.1 x W. 56.9 cm (10 11/16 x 22 3/8 in.),Department of Asian Art,,Paintings,1972.0,Gift
18429,Album of Iconographic Drawings of the Esoteric Buddhist Pantheon (Shingon sect),Japanese,"Edo period, 1615-1868",18th century,Album; ink on paper,H. 27.1 x W. 56.9 cm (10 11/16 x 22 3/8 in.),Department of Asian Art,,Paintings,1972.0,Gift
18430,Album of Iconographic Drawings of the Esoteric Buddhist Pantheon (Shingon sect),Japanese,"Edo period, 1615-1868",18th century,Album; ink on paper,H. 27.1 x W. 56.9 cm (10 11/16 x 22 3/8 in.),Department of Asian Art,,Paintings,1972.0,Gift
18431,Album of Iconographic Drawings of the Esoteric Buddhist Pantheon (Shingon sect),Japanese,"Edo period, 1615-1868",18th century,Album; ink on paper,H. 27.1 x W. 56.9 cm (10 11/16 x 22 3/8 in.),Department of Asian Art,,Paintings,1972.0,Gift
18432,Album of Iconographic Drawings of the Esoteric Buddhist Pantheon (Shingon sect),Japanese,"Edo period, 1615-1868",18th century,Album; ink on paper,H. 27.1 x W. 56.9 cm (10 11/16 x 22 3/8 in.),Department of Asian Art,,Paintings,1972.0,Gift
18496,Album of Iconographic Drawings of the Esoteric Buddhist Pantheon (Shingon sect),Japanese,"Edo period, 1615-1868",18th century,Album; ink on paper,H. 27.1 x W. 56.9 cm (10 11/16 x 22 3/8 in.),Department of Asian Art,,Paintings,1972.0,Gift
18497,Album of Iconographic Drawings of the Esoteric Buddhist Pantheon (Shingon sect),Japanese,"Edo period, 1615-1868",18th century,Album; ink on paper,H. 27.1 x W. 56.9 cm (10 11/16 x 22 3/8 in.),Department of Asian Art,,Paintings,1972.0,Gift
18498,Album of Iconographic Drawings of the Esoteric Buddhist Pantheon (Shingon sect),Japanese,"Edo period, 1615-1868",18th century,Album; ink on paper,H. 27.1 x W. 56.9 cm (10 11/16 x 22 3/8 in.),Department of Asian Art,,Paintings,1972.0,Gift
18550,Album of Iconographic Drawings of the Esoteric Buddhist Pantheon (Shingon sect),Japanese,"Edo period, 1615-1868",18th century,Album; ink on paper,H. 27.1 x W. 56.9 cm (10 11/16 x 22 3/8 in.),Department of Asian Art,,Paintings,1972.0,Gift
18551,Album of Iconographic Drawings of the Esoteric Buddhist Pantheon (Shingon sect),Japanese,"Edo period, 1615-1868",18th century,Album; ink on paper,H. 27.1 x W. 56.9 cm (10 11/16 x 22 3/8 in.),Department of Asian Art,,Paintings,1972.0,Gift
18578,Album of Iconographic Drawings of the Esoteric Buddhist Pantheon (Shingon sect),Japanese,"Edo period, 1615-1868",18th century,Album; ink on paper,27.1 x 56.9 cm (10 11/16 x 22 3/8 in.),Department of Asian Art,,Paintings,1972.0,Gift
18579,Album of Iconographic Drawings of the Esoteric Buddhist Pantheon (Shingon sect),Japanese,"Edo period, 1615-1868",18th century,Album; ink on paper,27.1 x 56.9 cm (10 11/16 x 22 3/8 in.),Department of Asian Art,,Paintings,1972.0,Gift
18580,Album of Iconographic Drawings of the Esoteric Buddhist Pantheon (Shingon sect),Japanese,"Edo period, 1615-1868",18th century,Album; ink on paper,27.1 x 56.9 cm (10 11/16 x 22 3/8 in.),Department of Asian Art,,Paintings,1972.0,Gift
18581,Album of Iconographic Drawings of the Esoteric Buddhist Pantheon (Shingon sect),Japanese,"Edo period, 1615-1868",18th century,Album; ink on paper,27.1 x 56.9 cm (10 11/16 x 22 3/8 in.),Department of Asian Art,,Paintings,1972.0,Gift
18582,Album of Iconographic Drawings of the Esoteric Buddhist Pantheon (Shingon sect),Japanese,"Edo period, 1615-1868",18th century,Album; ink on paper,27.1 x 56.9 cm (10 11/16 x 22 3/8 in.),Department of Asian Art,,Paintings,1972.0,Gift
18583,Album of Iconographic Drawings of the Esoteric Buddhist Pantheon (Shingon sect),Japanese,"Edo period, 1615-1868",18th century,Album; ink on paper,27.1 x 56.9 cm (10 11/16 x 22 3/8 in.),Department of Asian Art,,Paintings,1972.0,Gift
18584,Album of Iconographic Drawings of the Esoteric Buddhist Pantheon (Shingon sect),Japanese,"Edo period, 1615-1868",18th century,Album; ink on paper,27.1 x 56.9 cm (10 11/16 x 22 3/8 in.),Department of Asian Art,,Paintings,1972.0,Gift
18585,Album of Iconographic Drawings of the Esoteric Buddhist Pantheon (Shingon sect),Japanese,"Edo period, 1615-1868",18th century,Album; ink on paper,27.1 x 56.9 cm (10 11/16 x 22 3/8 in.),Department of Asian Art,,Paintings,1972.0,Gift
18586,Album of Iconographic Drawings of the Esoteric Buddhist Pantheon (Shingon sect),Japanese,"Edo period, 1615-1868",18th century,Album; ink on paper,27.1 x 56.9 cm (10 11/16 x 22 3/8 in.),Department of Asian Art,,Paintings,1972.0,Gift
18587,Album of Iconographic Drawings of the Esoteric Buddhist Pantheon (Shingon sect),Japanese,"Edo period, 1615-1868",18th century,Album; ink on paper,27.1 x 56.9 cm (10 11/16 x 22 3/8 in.),Department of Asian Art,,Paintings,1972.0,Gift
18588,Album of Iconographic Drawings of the Esoteric Buddhist Pantheon (Shingon sect),Japanese,"Edo period, 1615-1868",18th century,Album; ink on paper,27.1 x 56.9 cm (10 11/16 x 22 3/8 in.),Department of Asian Art,,Paintings,1972.0,Gift
18589,Album of Iconographic Drawings of the Esoteric Buddhist Pantheon (Shingon sect),Japanese,"Edo period, 1615-1868",18th century,Album; ink on paper,27.1 x 56.9 cm (10 11/16 x 22 3/8 in.),Department of Asian Art,,Paintings,1972.0,Gift
18590,Album of Iconographic Drawings of the Esoteric Buddhist Pantheon (Shingon sect),Japanese,"Edo period, 1615-1868",18th century,Album; ink on paper,27.1 x 56.9 cm (10 11/16 x 22 3/8 in.),Department of Asian Art,,Paintings,1972.0,Gift
18591,Album of Iconographic Drawings of the Esoteric Buddhist Pantheon (Shingon sect),Japanese,"Edo period, 1615-1868",18th century,Album; ink on paper,27.1 x 56.9 cm (10 11/16 x 22 3/8 in.),Department of Asian Art,,Paintings,1972.0,Gift
18592,Album of Iconographic Drawings of the Esoteric Buddhist Pantheon (Shingon sect),Japanese,"Edo period, 1615-1868",18th century,Album; ink on paper,27.1 x 56.9 cm (10 11/16 x 22 3/8 in.),Department of Asian Art,,Paintings,1972.0,Gift
18593,Album of Iconographic Drawings of the Esoteric Buddhist Pantheon (Shingon sect),Japanese,"Edo period, 1615-1868",18th century,Album; ink on paper,27.1 x 56.9 cm (10 11/16 x 22 3/8 in.),Department of Asian Art,,Paintings,1972.0,Gift
18594,Album of Iconographic Drawings of the Esoteric Buddhist Pantheon (Shingon sect),Japanese,"Edo period, 1615-1868",18th century,Album; ink on paper,27.1 x 56.9 cm (10 11/16 x 22 3/8 in.),Department of Asian Art,,Paintings,1972.0,Gift
18595,Album of Iconographic Drawings of the Esoteric Buddhist Pantheon (Shingon sect),Japanese,"Edo period, 1615-1868",18th century,Album; ink on paper,27.1 x 56.9 cm (10 11/16 x 22 3/8 in.),Department of Asian Art,,Paintings,1972.0,Gift
18602,Album of Iconographic Drawings of the Esoteric Buddhist Pantheon (Shingon sect),Japanese,"Edo period, 1615-1868",18th century,Album; ink on paper,27.1 x 56.9 cm (10 11/16 x 22 3/8 in.),Department of Asian Art,,Paintings,1972.0,Gift
18615,Album of Iconographic Drawings of the Esoteric Buddhist Pantheon (Shingon sect),Japanese,"Edo period, 1615-1868",18th century,Album; ink on paper,27.1 x 56.9 cm (10 11/16 x 22 3/8 in.),Department of Asian Art,,Paintings,1972.0,Gift
18623,Album of Iconographic Drawings of the Esoteric Buddhist Pantheon (Shingon sect),Japanese,"Edo period, 1615-1868",18th century,Album; ink on paper,H. 27.1 x W. 56.9 cm (10 11/16 x 22 3/8 in.),Department of Asian Art,,Paintings,1972.0,Gift
18631,Album of Iconographic Drawings of the Esoteric Buddhist Pantheon (Shingon sect),Japanese,"Edo period, 1615-1868",18th century,Album; ink on paper,27.1 x 56.9 cm (10 11/16 x 22 3/8 in.),Department of Asian Art,,Paintings,1972.0,Gift
18632,Album of Iconographic Drawings of the Esoteric Buddhist Pantheon (Shingon sect),Japanese,"Edo period, 1615-1868",18th century,Album; ink on paper,H. 27.1 x W. 56.9 cm (10 11/16 x 22 3/8 in.),Department of Asian Art,,Paintings,1972.0,Gift
18638,Album of Iconographic Drawings of the Esoteric Buddhist Pantheon (Shingon sect),Japanese,"Edo period, 1615-1868",18th century,Album; ink on paper,H. 27.1 x W. 56.9 cm (10 11/16 x 22 3/8 in.),Department of Asian Art,,Paintings,1972.0,Gift
18639,Album of Iconographic Drawings of the Esoteric Buddhist Pantheon (Shingon sect),Japanese,"Edo period, 1615-1868",18th century,Album; ink on paper,H. 27.1 x W. 56.9 cm (10 11/16 x 22 3/8 in.),Department of Asian Art,,Paintings,1972.0,Gift
18647,Album of Iconographic Drawings of the Esoteric Buddhist Pantheon (Shingon sect),Japanese,"Edo period, 1615-1868",18th century,Album; ink on paper,H. 27.1 x W. 56.9 cm (10 11/16 x 22 3/8 in.),Department of Asian Art,,Paintings,1972.0,Gift
19028,Album of Iconographic Drawings of the Esoteric Buddhist Pantheon (Shingon sect),Japanese,"Edo period, 1615-1868",18th century,Album; ink on paper,H. 27.1 x W. 56.9 cm (10 11/16 x 22 3/8 in.),Department of Asian Art,,Paintings,1972.0,Gift
19029,Album of Iconographic Drawings of the Esoteric Buddhist Pantheon (Shingon sect),Japanese,"Edo period, 1615-1868",18th century,Album; ink on paper,H. 27.1 x W. 56.9 cm (10 11/16 x 22 3/8 in.),Department of Asian Art,,Paintings,1972.0,Gift
19057,Album of Iconographic Drawings of the Esoteric Buddhist Pantheon (Shingon sect),Japanese,"Edo period, 1615-1868",18th century,Album; ink on paper,H. 27.1 x W. 56.9 cm (10 11/16 x 22 3/8 in.),Department of Asian Art,,Paintings,1972.0,Gift
19058,Album of Iconographic Drawings of the Esoteric Buddhist Pantheon (Shingon sect),Japanese,"Edo period, 1615-1868",18th century,Album; ink on paper,H. 27.1 x W. 56.9 cm (10 11/16 x 22 3/8 in.),Department of Asian Art,,Paintings,1972.0,Gift
19059,Album of Iconographic Drawings of the Esoteric Buddhist Pantheon (Shingon sect),Japanese,"Edo period, 1615-1868",18th century,Album; ink on paper,H. 27.1 x W. 56.9 cm (10 11/16 x 22 3/8 in.),Department of Asian Art,,Paintings,1972.0,Gift
19060,Album of Iconographic Drawings of the Esoteric Buddhist Pantheon (Shingon sect),Japanese,"Edo period, 1615-1868",18th century,Album; ink on paper,H. 27.1 x W. 56.9 cm (10 11/16 x 22 3/8 in.),Department of Asian Art,,Paintings,1972.0,Gift
19061,Album of Iconographic Drawings of the Esoteric Buddhist Pantheon (Shingon sect),Japanese,"Edo period, 1615-1868",18th century,Album; ink on paper,27.1 x 56.9 cm (10 11/16 x 22 3/8 in.),Department of Asian Art,,Paintings,1972.0,Gift
19062,Album of Iconographic Drawings of the Esoteric Buddhist Pantheon (Shingon sect),Japanese,"Edo period, 1615-1868",18th century,Album; ink on paper,27.1 x 56.9 cm (10 11/16 x 22 3/8 in.),Department of Asian Art,,Paintings,1972.0,Gift
19071,Album of Iconographic Drawings of the Esoteric Buddhist Pantheon (Shingon sect),Japanese,"Edo period, 1615-1868",18th century,Album; ink on paper,H. 27.1 x W. 56.9 cm (10 11/16 x 22 3/8 in.),Department of Asian Art,,Paintings,1972.0,Gift
19072,Album of Iconographic Drawings of the Esoteric Buddhist Pantheon (Shingon sect),Japanese,"Edo period, 1615-1868",18th century,Album; ink on paper,27.1 x 56.9 cm (10 11/16 x 22 3/8 in.),Department of Asian Art,,Paintings,1972.0,Gift
19073,Album of Iconographic Drawings of the Esoteric Buddhist Pantheon (Shingon sect),Japanese,"Edo period, 1615-1868",18th century,Album; ink on paper,27.1 x 56.9 cm (10 11/16 x 22 3/8 in.),Department of Asian Art,,Paintings,1972.0,Gift
19074,Album of Iconographic Drawings of the Esoteric Buddhist Pantheon (Shingon sect),Japanese,"Edo period, 1615-1868",18th century,Album; ink on paper,27.1 x 56.9 cm (10 11/16 x 22 3/8 in.),Department of Asian Art,,Paintings,1972.0,Gift
19075,Album of Iconographic Drawings of the Esoteric Buddhist Pantheon (Shingon sect),Japanese,"Edo period, 1615-1868",18th century,Album; ink on paper,27.1 x 56.9 cm (10 11/16 x 22 3/8 in.),Department of Asian Art,,Paintings,1972.0,Gift
